FID,YR,NODEID,Lon,Lat,Fatalities,PedFatalit,BikeFatali,MVOFatalit
54,2016,13748,-73.9796382173592,40.61556454697361,1,1,0,0
55,2016,22814,-73.9643135364189,40.76059923080214,1,1,1,1
56,2016,44224,-73.91221277430695,40.85078100798703,1,0,0,1
57,2016,22704,-73.97072777419645,40.767393722321565,1,0,0,1
58,2016,22464,-73.97905849571025,40.744443551840725,1,1,0,0
59,2016,26701,-73.94236047616684,40.66762256319933,1,1,0,0
60,2016,52609,-73.86268436835176,40.84042152209635,1,1,0,0
61,2016,51838,-73.83905249487786,40.77662845263897,1,0,0,1
62,2016,26469,-73.91532186916062,40.63963743790644,1,0,1,0
63,2016,39062,-73.75135891860653,40.67789761072449,1,0,0,1
64,2016,26783,-73.93807695862806,40.68316090324468,1,1,0,0
65,2016,62603,-73.72455548541954,40.73384494791864,1,0,0,1
66,2016,37515,-73.77773485374051,40.71027617041361,1,0,0,1
67,2016,34117,-73.81164515436227,40.685655478758505,1,0,0,1
68,2016,39790,-73.75380958190144,40.690975133515174,1,1,1,1
69,2016,59395,-73.78516838266741,40.7614328179049,1,0,0,1
70,2016,34702,-73.82147824995991,40.70341560344663,1,0,0,1
71,2016,41668,-73.92345724867414,40.76434805911586,1,1,0,0
72,2016,52837,-73.84955890674553,40.834408870723685,1,0,0,1
73,2016,18935,-73.95361543333249,40.661387804477975,1,0,0,1
74,2016,26024,-73.94059709984181,40.63908298389127,1,0,0,1
75,2016,43122,-73.91085651155016,40.80044684397289,1,0,0,1
76,2016,14036,-73.99943387509829,40.634885158431736,1,1,0,0
77,2016,19197,-73.9751056640484,40.68969750861753,1,1,1,0
78,2016,41515,-73.92948036516411,40.74618924729936,1,0,0,1
79,2016,46936,-73.87221856343696,40.756943224751474,1,0,0,1
80,2016,12160,-74.02159802537453,40.644598051791675,1,0,0,1
81,2016,36768,-73.77296098458184,40.68470037641421,1,0,0,1
82,2016,18701,-73.97082602640087,40.681615941145395,1,0,0,1
83,2016,49857,-73.86409992198305,40.72738203341097,1,1,0,0
84,2016,44543,-73.91894225652722,40.86446291211902,1,1,0,1
85,2016,12987,-73.98719210807614,40.59792604786981,1,1,1,1
86,2016,55951,-73.80835482673999,40.76978102609598,1,0,0,1
87,2016,21252,-73.99619655503486,40.74843932802875,1,0,0,1
88,2016,61073,-73.75418823511794,40.71702550400589,1,0,0,1
89,2016,31700,-73.85280058915815,40.684253110511285,1,1,0,1
90,2016,46655,-73.88672972744693,40.76305326090904,1,1,0,1
91,2016,22582,-73.97304502609242,40.75269162264942,1,1,1,0
92,2016,23920,-73.96191713716513,40.80054339675579,1,1,0,0
93,2016,46625,-73.887098144831,40.749453894519796,1,0,0,1
94,2016,54558,-73.8450799171188,40.90335873754381,1,0,0,1
95,2016,24407,-73.94468025905707,40.84105098275664,1,0,1,1
96,2016,21345,-73.9920790007864,40.754091115051054,1,0,0,1
97,2016,61103,-73.75409142374869,40.72469190540128,1,0,1,1
98,2016,48811,-73.89262981938217,40.85582307363389,1,0,0,1
99,2016,18539,-73.97806037467761,40.671112412943245,1,0,1,1
100,2016,23267,-73.9773684583637,40.77936425262432,1,1,0,0
101,2016,27841,-73.9188333097533,40.7058671177244,1,0,0,1
102,2016,33985,-73.81412116675399,40.66739183826588,1,0,0,1
103,2016,18973,-73.95281121152577,40.677844227770585,1,0,1,1
104,2016,20559,-73.99918495833084,40.739242836542104,1,1,1,0
105,2016,13983,-74.00325273134969,40.638104261781116,1,0,0,1
106,2016,42402,-73.90890275896305,40.774861460845926,1,1,0,0
107,2016,52632,-73.86250923717675,40.84836228092491,1,0,0,1
108,2016,7077,-74.12688872689074,40.63721008839983,1,1,0,0
109,2016,24201,-73.94697366764962,40.79996170317618,1,1,0,0
110,2016,10536,-74.08048022624885,40.617295444996245,1,0,0,1
111,2016,18618,-73.97244492478352,40.677162008627455,1,0,0,1
112,2016,42499,-73.93879245277644,40.80828005000519,1,0,1,0
113,2016,13562,-73.99365164541645,40.61569382386479,1,0,0,1
114,2016,45601,-73.89055987639743,40.73927465003346,1,0,0,1
115,2016,56000,-73.80374079748216,40.76213336511344,1,1,0,1
116,2016,19726,-73.95599388123556,40.71409198672522,1,1,1,1
117,2016,18473,-73.94562475269942,40.64112599155546,1,1,0,1
118,2016,48625,-73.90339093491859,40.87687833403756,1,1,0,1
119,2016,29798,-73.87280325727335,40.67264294934725,1,0,0,1
120,2016,6533,-74.13215051174078,40.60855196364926,1,1,0,1
121,2016,7137,-74.12005266702158,40.560393206755045,1,0,0,1
122,2016,19824,-73.94833093493584,40.69097346337585,1,0,0,1
123,2016,27531,-73.93528872120655,40.71445703888863,1,0,1,1
124,2016,21478,-73.9856467780215,40.762914873641854,1,1,1,0
125,2016,52505,-73.86393748064827,40.84004456540095,1,0,1,0
126,2016,6980,-74.1347696132933,40.63602506978583,1,1,0,1
127,2016,42069,-73.9363609301297,40.79469761199765,1,0,0,1
128,2016,61218,-73.7473223790872,40.717243746833155,1,0,0,1
129,2016,30569,-73.87161765748152,40.71329023990319,1,0,0,1
130,2016,21139,-74.00233168740094,40.75020825736691,1,0,1,1
131,2016,36840,-73.7668576156761,40.680061809949024,1,0,0,1
132,2016,43072,-73.91677117751931,40.81569882854332,1,0,0,1
133,2016,6711,-74.13024788988521,40.62960913019208,1,0,0,1
134,2016,43271,-73.90912668277424,40.81593922606779,1,0,0,1
135,2016,21977,-73.96447229962037,40.7157331061428,1,0,0,1
136,2016,34907,-73.8164004677772,40.70408335249363,1,1,0,1
137,2016,20266,-74.00457474450731,40.72417313049976,1,0,0,1
138,2016,9333,-74.11373640325856,40.63742912317913,1,0,0,1
139,2016,39532,-73.73064065236957,40.673981560073436,1,1,0,1
140,2016,22922,-73.96114862931944,40.76498744543072,1,1,1,1
141,2016,6639,-74.13404301053427,40.63279455562179,1,0,0,1
142,2016,61493,-73.73426079688086,40.733296945614015,1,0,0,1
143,2016,18311,-73.95421257422487,40.64793603717636,1,0,1,0
144,2016,19919,-73.94627613085453,40.702220582689314,1,1,0,0
145,2016,30674,-73.85923026420744,40.57665689453648,1,0,0,1
146,2016,35193,-73.80573925721569,40.697261901018244,1,1,0,0
147,2016,46810,-73.87790382855567,40.745589697135955,1,1,0,0
148,2016,18158,-73.9639839051938,40.64908469174722,1,0,0,1
149,2016,21319,-73.99371965712474,40.767132620694156,1,0,0,1
150,2016,21781,-73.97635525182916,40.71913288384099,1,0,0,1
151,2016,54531,-73.84523225061781,40.889550672876275,1,0,0,1
152,2016,26062,-73.94261168286623,40.660610341912815,1,1,0,1
153,2016,46706,-73.88375272654706,40.75188505942897,1,1,0,1
154,2016,31386,-73.86108032447963,40.66638233664164,1,0,0,1
155,2016,28961,-73.88738075367992,40.65997309674349,1,0,0,1
156,2016,34004,-73.81494835443256,40.67558012550807,1,0,0,1
157,2016,22317,-73.94697995448854,40.721474010528986,1,1,0,0
158,2016,26688,-73.94276743017858,40.662060323145035,1,1,0,0
159,2016,46557,-73.89061340826551,40.75314494256272,1,0,0,1
160,2016,55944,-73.80889063570463,40.76587405417703,1,0,0,1
161,2016,37964,-73.75963515412957,40.597518823704846,1,0,0,1
162,2016,43134,-73.91278767898903,40.80483975895182,1,0,0,1
163,2016,3420,-74.16948145766435,40.57940007466443,1,1,1,1
164,2016,43316,-73.93968952875701,40.82765657397281,1,0,1,0
165,2016,21660,-73.98487946600233,40.77415567098351,1,0,0,1
166,2016,49979,-73.85714659755628,40.71701045018735,1,0,1,0
167,2016,51026,-73.85604027477626,40.75707244640958,1,0,0,1
168,2016,32181,-73.87016941790395,40.70922897907258,1,1,1,1
169,2016,58469,-73.79782841747827,40.72203121453523,1,0,0,1
170,2016,24168,-73.95354383060014,40.812050820939156,1,0,1,0
171,2016,20616,-73.99559266495984,40.7281934493217,1,0,1,0
172,2016,57471,-73.82799994497228,40.84863235043264,1,0,0,1
173,2016,46919,-73.87261424949611,40.7531415002851,1,1,0,1
174,2016,56446,-73.81478821773047,40.77699573927028,1,0,0,1
175,2016,39597,-73.76195416335695,40.68823513886005,1,1,0,1
176,2016,26919,-73.9253287218354,40.671168716832426,1,0,1,0
177,2016,53519,-73.86097060633502,40.856806911565016,1,0,1,0
178,2016,47432,-73.88906736352455,40.81657491936832,1,0,1,0
179,2016,67259,-73.86295084690177,40.74884241952413,1,1,0,0
180,2016,23985,-73.96107793944311,40.80180035718493,1,0,0,1
181,2016,17382,-73.97211243697882,40.63136815902617,1,0,0,1
182,2016,46372,-73.89922765539596,40.75000253139692,1,1,1,0
183,2016,22766,-73.96590033944635,40.76535728318756,1,1,0,1
184,2016,14089,-73.99507463081216,40.634076730303256,1,1,0,1
185,2016,19640,-73.95606868592365,40.689334447062386,1,0,0,1
186,2016,41017,-73.92188266389869,40.74147755634976,1,0,0,1
187,2016,54587,-73.84086971196012,40.890545369865094,1,0,0,1
188,2016,37766,-73.7675217151723,40.71396168429871,1,0,0,1
189,2016,42235,-73.92142174861462,40.770962529642354,1,1,0,1
190,2016,39836,-73.7521219946412,40.707111922797225,1,1,0,0
191,2016,46685,-73.88485538547512,40.747534811043295,1,0,1,1
192,2016,11260,-74.0801692168146,40.64005656652153,1,1,0,0
193,2016,43961,-73.92046112263456,40.83091481998404,1,1,0,1
194,2016,26137,-73.93513872298345,40.64178465262052,1,1,0,1
195,2016,54872,-73.82092192566125,40.71870218471685,1,0,0,1
196,2016,8758,-74.11101012379048,40.62789618156728,1,0,0,1
197,2016,13232,-74.00951152082204,40.61140615285025,1,1,0,0
198,2016,29165,-73.90487526925365,40.6819471172758,1,0,0,1
199,2016,56773,-73.79994447385891,40.78446580362111,1,0,0,1
200,2016,17372,-73.97156802717066,40.6299880155614,1,0,1,1
201,2016,41161,-73.91132095108931,40.7196242298623,1,0,0,1
202,2016,39855,-73.75382141768259,40.71508591415256,1,1,0,1
203,2016,17809,-73.94506642766854,40.61721268714031,1,0,0,1
204,2016,41089,-73.91853985117795,40.739203160592595,1,1,0,0
205,2016,44479,-73.92249763527856,40.86606345392361,1,1,0,0
206,2016,54491,-73.8468022562444,40.90155220574519,1,0,0,1
207,2016,18389,-73.95049313970527,40.65940510536408,1,0,0,1
208,2016,15743,-73.99136812194249,40.69701375193001,1,1,0,0
209,2016,16542,-73.96621053767859,40.58062956913077,1,0,0,1
210,2016,41369,-73.93917399644279,40.74827781723936,1,0,0,1
211,2016,17533,-73.96090977372397,40.60769310149201,1,1,0,0
212,2016,20184,-74.00795703393679,40.71712230724308,1,1,0,0
213,2016,15352,-74.00481660017135,40.70839029143164,1,1,1,0
214,2016,54372,-73.8506512317489,40.88219179020491,1,1,0,0
215,2016,21718,-73.98111394115995,40.774227479795634,1,0,1,0
216,2016,29274,-73.8998628803675,40.668684000001726,1,0,0,1
217,2016,11606,-74.03316279020977,40.61340207289487,1,1,0,0
218,2016,58607,-73.79278524251583,40.74119360068949,1,0,0,1
219,2016,42542,-73.93308208250117,40.8034252147049,1,0,0,1
220,2016,16049,-73.98042941153966,40.68990041413113,1,1,1,1
221,2016,25483,-73.93933407977448,40.62272561908972,1,0,1,0
222,2016,40228,-73.73488108576788,40.6954667090736,1,1,0,1
223,2016,35124,-73.80900071086752,40.70594887434371,1,0,1,1
224,2016,31427,-73.86378674435556,40.68111374729865,1,1,0,0
225,2016,34201,-73.80787469688842,40.687098337257204,1,1,1,1
226,2016,59769,-73.77233563053579,40.7456712104904,1,0,0,1
227,2016,58472,-73.79760902217059,40.72382450359946,1,0,0,1
228,2016,27102,-73.91626712038766,40.664653764538066,1,0,0,1
229,2016,21258,-73.99678948802477,40.752723447810986,1,0,0,1
230,2016,19404,-73.96761547754237,40.70496163513082,1,0,0,1
231,2016,34140,-73.80759209577072,40.66622103914108,1,0,0,1
232,2016,50968,-73.85792759396499,40.75668485323325,1,0,0,1
233,2016,8401,-74.08849596596106,40.58478842389472,1,1,0,0
234,2016,20142,-74.00986909311912,40.73245064283152,1,0,0,1
235,2016,23279,-73.9764394834574,40.78573489936196,1,1,1,1
236,2016,24982,-73.93301117693727,40.59463870831755,1,1,0,1
237,2016,26472,-73.91758045227078,40.64282700576307,1,1,0,1
238,2016,42976,-73.92099476284926,40.80661088716846,1,0,1,0
239,2016,26335,-73.92211706549726,40.6467958165996,1,0,0,1
240,2016,12684,-74.00514036320537,40.60143148839256,1,0,0,1
241,2016,26708,-73.94194505067962,40.67207733131081,1,1,0,1
242,2016,26095,-73.93808043624111,40.65137598052021,1,1,0,1
243,2016,12809,-73.9952894235203,40.592171793564454,1,0,0,1
244,2016,10142,-74.06417895945577,40.59234144767321,1,0,0,1
245,2016,5889,-74.1581414121525,40.632801884704406,1,0,1,0
246,2016,53419,-73.8681287718902,40.880066552642326,1,1,0,0
247,2016,35212,-73.80353445937911,40.700279123356815,1,0,0,1
248,2016,36645,-73.77410277650831,40.66705261095199,1,0,0,1
249,2016,26523,-73.91707363504864,40.65974535343744,1,1,0,1
250,2016,41012,-73.92466423556532,40.741800071132594,1,0,1,0
251,2016,42489,-73.93722752215317,40.801769017573044,1,1,0,1
252,2016,34731,-73.82259801286034,40.713602028183075,1,0,0,1
253,2016,56283,-73.82234992067606,40.786854821766006,1,1,0,1
254,2016,20902,-73.98309064158825,40.72666581365765,1,1,0,0
255,2016,27798,-73.92130587805092,40.689071643639615,1,0,0,1
256,2016,50038,-73.85704937992641,40.73251243386778,1,1,0,0
257,2016,31714,-73.84909548224715,40.66131542686172,1,1,0,1
258,2016,5671,-74.1314181527962,40.580307255874,1,0,0,1
259,2016,18709,-73.97172665569008,40.68752799463565,1,0,0,1
260,2016,34190,-73.80715626182304,40.68253902067108,1,0,0,1
261,2016,58369,-73.8240309338459,40.88769579465675,1,1,0,0
262,2016,26369,-73.92288829569588,40.65542141420835,1,0,0,1
263,2016,16259,-73.96113608382178,40.575802676756695,1,1,0,0
264,2016,15845,-73.98729894922597,40.69223407566358,1,1,1,1
265,2016,9726,-74.08587511871747,40.595890120978005,1,0,0,1
266,2016,29236,-73.90291887259521,40.67568458060562,1,0,0,1
267,2016,17822,-73.94587640200803,40.62688633483696,1,0,0,1
268,2016,31091,-73.84680333251069,40.65991486539464,1,0,0,1
269,2016,19345,-73.96582204665665,40.688209422861966,1,1,0,0
270,2016,59074,-73.76330464261797,40.715536364999345,1,0,0,1
271,2016,4838,-74.1417557430389,40.564530298670434,1,0,0,1
272,2016,449,-74.23937177234104,40.52822360666732,1,0,0,1
273,2016,27643,-73.92520550646589,40.69345465650159,1,0,1,0
274,2016,34900,-73.81513688072434,40.70071248083485,1,1,0,1
275,2016,47230,-73.9034965059701,40.81872376112447,1,0,0,1
276,2016,19518,-73.96387475159798,40.71029748300795,1,1,1,0
277,2016,36948,-73.76599216336213,40.68136170592921,1,0,0,1
278,2016,56850,-73.82386721216902,40.82514552271235,1,0,0,1
279,2016,26502,-73.91473216809352,40.64810117445802,1,1,0,1
280,2016,11623,-74.03084507407462,40.6166994887354,1,1,1,1
281,2016,42508,-73.9378800365576,40.809524968838616,1,0,0,1
282,2016,26455,-73.92008167071779,40.659857633762286,1,0,0,1
283,2016,23576,-73.95679749079456,40.77496631068771,1,0,1,0
284,2016,19096,-73.976101955225,40.6897365229138,1,0,1,0
285,2016,41917,-73.90846544658498,40.755291685056186,1,1,0,1
286,2016,24335,-73.94995561180282,40.827101710948476,1,0,1,0
287,2016,63016,-73.72231045020564,40.764793011965,1,0,0,1
288,2016,27440,-73.93709737448495,40.70938179801104,1,0,0,1
289,2016,49310,-73.90330913647806,40.884301072389384,1,0,0,1
290,2016,33872,-73.82219036657959,40.67826769161013,1,0,0,1
291,2016,17983,-73.9732662818338,40.654649260758006,1,0,0,1
292,2016,21130,-74.00311637973942,40.74403449425298,1,0,0,1
293,2016,43456,-73.93937513643056,40.83650525468005,1,1,0,1
294,2016,46947,-73.87107557653604,40.76080621866848,1,1,0,0
295,2016,28041,-73.90991485044164,40.704126070503676,1,1,0,0
296,2016,12218,-74.01590100938915,40.646655960941274,1,1,0,0
297,2016,48096,-73.89150554349943,40.83466242468743,1,0,0,1
298,2016,14870,-73.99042640048437,40.678680322641256,1,0,0,1
299,2016,19733,-73.9516115646026,40.69059670086785,1,0,0,1
300,2016,41833,-73.91354183527673,40.753468714711495,1,0,0,1
301,2016,29190,-73.90197238521516,40.66198723511617,1,0,0,1
302,2016,47318,-73.89704466663986,40.81680185969904,1,0,0,1
303,2016,9811,-74.08170183899148,40.598565528425524,1,0,0,1
304,2016,49495,-73.89687844510608,40.90104057988645,1,0,0,1
305,2016,55442,-73.83334977385387,40.76408378723324,1,0,0,1
306,2016,25427,-73.94028896743713,40.62739946771636,1,0,0,1
307,2016,13818,-74.01298705580051,40.64945600062451,1,1,0,1
308,2016,34696,-73.82250538485327,40.7017572573213,1,1,0,1
309,2016,27389,-73.93675794482759,40.6915561529044,1,1,0,1
310,2016,17832,-73.94453995041172,40.629866562597364,1,1,0,0
311,2016,20994,-73.98269552225351,40.73543159981086,1,0,0,1
312,2016,41669,-73.92266322298497,40.763966309282395,1,1,0,0
313,2016,16627,-73.96498563410256,40.60263003341925,1,0,1,1
314,2016,20888,-73.98467780268716,40.72173060481191,1,0,0,1
315,2016,26333,-73.92284937650116,40.644854054322735,1,0,0,1
316,2016,48550,-73.9064485622892,40.8534742071296,1,1,0,0
317,2016,42072,-73.93728065041779,40.79767890587158,1,0,0,1
318,2016,26811,-73.93322594034764,40.67596828339621,1,0,0,1
319,2016,51254,-73.84404431202876,40.75694477239177,1,0,0,1
320,2016,30248,-73.89024554413805,40.7011486060764,1,0,1,1
321,2016,53885,-73.8430029714914,40.85950196796439,1,0,0,1
322,2016,19223,-73.97247971942726,40.69620616935331,1,0,0,1
323,2016,41818,-73.9115087080717,40.74447070512154,1,1,0,0
324,2016,53497,-73.86500047192455,40.87980477660479,1,1,0,0
325,2016,46790,-73.88121597678311,40.76401295945488,1,1,0,1
326,2016,14018,-74.00151177028644,40.65710907588167,1,0,0,1
327,2016,19922,-73.94544988258859,40.702760636295,1,0,0,1
328,2016,12197,-74.01616711472387,40.639482440690436,1,1,0,0
329,2016,13600,-73.98913191478741,40.60645613688069,1,1,0,1
330,2016,23824,-73.94432146648396,40.78805565987863,1,1,0,1
331,2016,54894,-73.8221356804804,40.72505321060204,1,0,0,1
332,2016,23640,-73.95172338269927,40.77365653221905,1,0,1,0
333,2016,18534,-73.9777169535634,40.667569494420746,1,1,0,0
334,2016,13785,-74.0141087782601,40.634563997565095,1,1,0,0
335,2016,44269,-73.91036644162308,40.84382408440239,1,0,0,1
336,2016,11133,-74.08720578020039,40.639895367643106,1,1,0,1
337,2016,33035,-73.81880426402788,40.58494833716307,1,1,0,0
338,2016,29099,-73.87325092748155,40.65835678857071,1,0,0,1
339,2016,45191,-73.902100879338,40.71799578615165,1,0,0,1
340,2016,57840,-73.83315960368348,40.86831975628522,1,1,0,1
341,2016,21502,-73.98183365052175,40.74641659076658,1,1,1,1
342,2016,30130,-73.89574361822146,40.69319290404032,1,0,0,1
343,2016,64463,-73.84701292480167,40.84318156438911,1,1,0,0
344,2016,28705,-73.90138034229287,40.64429669676237,1,1,0,1
345,2016,23711,-73.9498808087265,40.78043584520608,1,1,0,1
346,2016,23034,-73.95147218816538,40.750433541671846,1,0,0,1
347,2016,21533,-73.97951319122312,40.7611485612976,1,0,1,1
348,2016,62569,-73.72625974488764,40.72654785151361,1,0,0,1
349,2016,48763,-73.89631315739977,40.86703857518866,1,1,0,1
350,2016,41396,-73.9364015299276,40.752671932473305,1,1,0,0
351,2016,12921,-73.98734059349212,40.57870165801322,1,0,0,1
352,2016,34850,-73.81800300801041,40.71500834474241,1,0,0,1
353,2016,18897,-73.95431647110212,40.672753432737544,1,1,0,0
354,2016,17083,-73.9489492607481,40.60195392345828,1,0,1,0
355,2016,18070,-73.96538172049117,40.636279175076695,1,0,1,0
356,2016,62803,-73.70893320705841,40.73114159716961,1,0,0,1
357,2016,23347,-73.97501417221686,40.78768560599517,1,1,0,1
358,2016,42066,-73.93773612100506,40.792815804128615,1,1,0,1
359,2016,13727,-73.98162368845443,40.60786578587092,1,0,1,0
360,2016,48893,-73.8917718885049,40.861871716165155,1,0,0,1
361,2016,46203,-73.90646810049431,40.757082473284456,1,0,0,1
362,2016,46720,-73.88203461712173,40.758073752180294,1,0,0,1
363,2016,54538,-73.84196149558555,40.888455967589756,1,1,1,1
364,2016,19055,-73.94521417629866,40.6668797533369,1,1,0,0
365,2016,8887,-74.1035092529046,40.61641607540947,1,1,0,1
366,2016,21440,-73.9863932658348,40.74592119463526,1,1,1,0
367,2016,44041,-73.91861505578252,40.852844415659476,1,1,0,1
368,2016,50194,-73.84979941720323,40.7244015790436,1,0,0,1
369,2016,33919,-73.8181081728736,40.670044481109635,1,0,0,1
370,2016,27532,-73.93495966380762,40.7137213881511,1,0,0,1
371,2016,46859,-73.87499575052784,40.76126432188219,1,0,0,1
372,2016,47219,-73.90346997155386,40.81507578852168,1,0,0,1
373,2016,42070,-73.93828508372981,40.796301476353335,1,1,0,1
374,2016,31782,-73.84678446180463,40.68404492872532,1,0,0,1
375,2016,24277,-73.94499360634927,40.80844618302979,1,1,0,1
376,2016,16463,-73.97256533740267,40.60179437302474,1,0,1,0
377,2016,48825,-73.8925639256277,40.860522729188204,1,1,0,0
378,2016,22537,-73.97623388827914,40.76567463120524,1,1,1,0
379,2016,53464,-73.86620523272883,40.86969329444907,1,1,1,1
380,2016,31389,-73.86282845512275,40.66945722253407,1,0,0,1
381,2016,47239,-73.90379310212336,40.82109109976575,1,1,0,1
382,2016,42451,-73.94134753056382,40.81343719559606,1,1,1,1
383,2016,20627,-73.99697435535191,40.731408831667146,1,0,0,1
384,2016,26308,-73.9228324923303,40.63554299387721,1,1,0,1
385,2016,7868,-74.1106417454116,40.59325129388351,1,0,0,1
386,2016,24011,-73.95781053703081,40.811265030904714,1,1,0,1
387,2016,7471,-74.10741797372798,40.5587709297014,1,0,0,1
388,2016,31752,-73.84843599587536,40.674576697696594,1,1,0,0
389,2016,48880,-73.88917065044386,40.85765553508481,1,0,0,1
390,2016,20267,-74.00455193420595,40.72555881582214,1,1,1,1
391,2016,33726,-73.83458331066849,40.683276240480964,1,1,0,1
392,2016,32004,-73.84161225535604,40.68551321288661,1,1,0,0
393,2016,22944,-73.95504970788247,40.74733408217527,1,0,0,1
394,2016,15771,-73.99250677293857,40.702611883230375,1,0,1,1
395,2016,48971,-73.88812278847338,40.86425457028458,1,0,1,1
396,2016,57349,-73.83290142936303,40.84211832987936,1,0,0,1
397,2016,33826,-73.82501128906445,40.68795231818354,1,1,0,1
398,2016,53303,-73.83676876837849,40.84354282070214,1,0,0,1
399,2016,55245,-73.80357239162055,40.71780101559491,1,0,1,0
400,2016,58614,-73.78854572476492,40.71725887160811,1,0,0,1
401,2016,59836,-73.77328982022895,40.76802238769272,1,0,1,1
402,2016,6813,-74.1253713419575,40.62823141471079,1,0,0,1
403,2016,26638,-73.90989018914317,40.64561495165873,1,0,1,1
404,2016,34501,-73.83130237999889,40.696846404954684,1,1,0,0
405,2016,39218,-73.74478269725913,40.677590669327934,1,1,0,1
406,2016,45522,-73.89251224881549,40.71880619353342,1,1,0,0
407,2016,58737,-73.78615092562383,40.739008623467605,1,1,1,1
408,2016,47962,-73.89666161707163,40.84352460711428,1,0,0,1
409,2016,20413,-74.00313982256506,40.731464867446775,1,0,0,1
410,2016,40242,-73.73628684771128,40.701826035335394,1,0,0,1
411,2016,21485,-73.98336657875404,40.76604524160669,1,1,1,1
412,2016,17854,-73.9764334214347,40.63328912206627,1,1,0,1
413,2016,15089,-73.98140045028863,40.687944435061816,1,1,1,1
414,2016,14141,-73.99328409341624,40.63390582026682,1,0,1,1
415,2016,41673,-73.92353865331013,40.765603497288616,1,0,0,1
416,2016,23900,-73.96530851787679,40.80608040063564,1,1,0,0
417,2016,37583,-73.77604320599517,40.70910937388978,1,0,0,1
418,2016,21281,-73.9968524495693,40.757732709369655,1,0,0,1
419,2016,40222,-73.73751742494645,40.69431776645132,1,0,0,1
